Date,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Returns
2013-09-20,Fingerprint_Cards_AB,Ocado_Group_PLC,Vestas_Wind_Systems_A/S,Thomas_Cook_Group_PLC,Siemens_Gamesa_Renewable_Energy_SA,REC_Silicon_ASA,Alcatel_Lucent_SA,Cie_Plastic_Omnium_SA,Genmab_A/S,Peugeot_SA,Paysafe_Group_Ltd,Bank_of_Ireland_Group_PLC,Atresmedia_Corp_de_Medios_de_Comunicacio,Sacyr_SA,Mediaset_SpA,CD_Projekt_SA,Technicolor_SA.1,Meyer_Burger_Technology_AG,Zeltia_SA,Bankinter_SA,MorphoSys_AG,Unipol_Gruppo_Finanziario_SpA,Sports_Direct_International_PLC,Faurecia_SA,ICA_Gruppen_AB,Smurfit_Kappa_Group_PLC,Unipol_Gruppo_Finanziario_SpA.1,Pandora_A/S,Nobel_Biocare_Holding_AG.1,Kinnevik_AB,Permanent_TSB_Group_Holdings_PLC,Neste_Oyj,Jyske_Bank_A/S,Eniro_AB,Intrum_AB,easyJet_PLC,Wienerberger_AG,Heidelberger_Druckmaschinen_AG,LPP_SA,IWG_PLC,Regus_PLC,3i_Group_PLC,ITV_PLC,Independent_News_&_Media_PLC,Howden_Joinery_Group_PLC,Valeo_SA,Grafton_Group_PLC.1,International_Consolidated_Airlines_Grou,Grafton_Group_PLC,United_Internet_AG,Fiat_SpA,Sartorius_Stedim_Biotech,International_Personal_Finance_PLC,UnipolSai_Assicurazioni_SpA,Sky_Deutschland_AG,Basilea_Pharmaceutica_AG,Rightmove_PLC,JM_AB,Leoni_AG,NMC_Health_PLC,0.015808100403119415
2013-10-01,Ocado_Group_PLC,Fingerprint_Cards_AB,Thomas_Cook_Group_PLC,Vestas_Wind_Systems_A/S,Siemens_Gamesa_Renewable_Energy_SA,Genmab_A/S,Cie_Plastic_Omnium_SA,Paysafe_Group_Ltd,REC_Silicon_ASA,Sacyr_SA,Alcatel_Lucent_SA,CD_Projekt_SA,Peugeot_SA,Atresmedia_Corp_de_Medios_de_Comunicacio,Eniro_AB,ICA_Gruppen_AB,Zeltia_SA,Technicolor_SA.1,MorphoSys_AG,Sports_Direct_International_PLC,Intrum_AB,Regus_PLC,IWG_PLC,Unipol_Gruppo_Finanziario_SpA,AIB_Group_PLC,Smurfit_Kappa_Group_PLC,Valeo_SA,Kinnevik_AB,Kabel_Deutschland_Holding_AG,Betfair_Group_Ltd,Howden_Joinery_Group_PLC,Mediaset_SpA,Unipol_Gruppo_Finanziario_SpA.1,ITV_PLC,Dixons_Retail_Group_Ltd,Grafton_Group_PLC,JM_AB,Pandora_A/S,United_Internet_AG,Bank_of_Ireland_Group_PLC,LPP_SA,Faurecia_SA,Jyske_Bank_A/S,International_Consolidated_Airlines_Grou,Grafton_Group_PLC.1,Neste_Oyj,Playtech_Plc,Electricite_de_France_SA,Ubisoft_Entertainment_SA,Nobel_Biocare_Holding_AG.1,Thales_SA,Fiat_SpA,Leoni_AG,NMC_Health_PLC,Basilea_Pharmaceutica_AG,International_Personal_Finance_PLC,Veolia_Environnement_SA,ACEA_SpA,Swedish_Orphan_Biovitrum_AB,3i_Group_PLC,-0.002691154666796523
2013-10-10,Ocado_Group_PLC,Vestas_Wind_Systems_A/S,Siemens_Gamesa_Renewable_Energy_SA,Thomas_Cook_Group_PLC,Fingerprint_Cards_AB,Genmab_A/S,Paysafe_Group_Ltd,CD_Projekt_SA,Cie_Plastic_Omnium_SA,Alcatel_Lucent_SA,REC_Silicon_ASA,Atresmedia_Corp_de_Medios_de_Comunicacio,Sacyr_SA,Peugeot_SA,Zeltia_SA,MorphoSys_AG,Sports_Direct_International_PLC,LPP_SA,ICA_Gruppen_AB,Dixons_Retail_Group_Ltd,PostNL_NV,United_Internet_AG,Basilea_Pharmaceutica_AG,Smurfit_Kappa_Group_PLC,Wienerberger_AG,Eniro_AB,Pandora_A/S,Kabel_Deutschland_Holding_AG,Technicolor_SA.1,Regus_PLC,IWG_PLC,Grafton_Group_PLC.1,Grafton_Group_PLC,Intrum_AB,Swedish_Orphan_Biovitrum_AB,Playtech_Plc,International_Consolidated_Airlines_Grou,Unipol_Gruppo_Finanziario_SpA,Valeo_SA,NMC_Health_PLC,Electricite_de_France_SA,Perrigo_Corp_DAC,Howden_Joinery_Group_PLC,Orange_Participations_UK_Ltd,Ubisoft_Entertainment_SA,Rightmove_PLC,Faurecia_SA,Betfair_Group_Ltd,Unipol_Gruppo_Finanziario_SpA.1,A2A_SpA,ACEA_SpA,Kinnevik_AB,ITV_PLC,1&1_Drillisch_AG,Bank_of_Ireland_Group_PLC,WS_Atkins_Ltd,Thales_SA,International_Personal_Finance_PLC,JM_AB,easyJet_PLC,0.004827466954661309
2013-10-21,Ocado_Group_PLC,Vestas_Wind_Systems_A/S,Siemens_Gamesa_Renewable_Energy_SA,Thomas_Cook_Group_PLC,REC_Silicon_ASA,Genmab_A/S,Fingerprint_Cards_AB,Atresmedia_Corp_de_Medios_de_Comunicacio,Sacyr_SA,CD_Projekt_SA,Alcatel_Lucent_SA,Peugeot_SA,Zeltia_SA,LPP_SA,Cie_Plastic_Omnium_SA,Paysafe_Group_Ltd,Pandora_A/S,A2A_SpA,MorphoSys_AG,Unipol_Gruppo_Finanziario_SpA,Unipol_Gruppo_Finanziario_SpA.1,Sports_Direct_International_PLC,Bankinter_SA,Electricite_de_France_SA,PostNL_NV,Mediaset_SpA,Swedish_Orphan_Biovitrum_AB,United_Internet_AG,Intrum_AB,Dixons_Retail_Group_Ltd,Faurecia_SA,Grafton_Group_PLC,ITV_PLC,Technicolor_SA.1,Orange_Participations_UK_Ltd,IWG_PLC,Regus_PLC,Jyske_Bank_A/S,Valeo_SA,Howden_Joinery_Group_PLC,Grafton_Group_PLC.1,Playtech_Plc,ICA_Gruppen_AB,Thales_SA,Kabel_Deutschland_Holding_AG,Bank_of_Ireland_Group_PLC,Smurfit_Kappa_Group_PLC,Wienerberger_AG,Television_Francaise_1,Sky_Deutschland_AG,Premier_Foods_PLC,Basilea_Pharmaceutica_AG,ACEA_SpA,Perrigo_Corp_DAC,Meyer_Burger_Technology_AG,EI_Group_PLC,Autogrill_SpA,International_Personal_Finance_PLC,International_Consolidated_Airlines_Grou,Nokia_OYJ,0.05520812424478334
2013-10-30,Siemens_Gamesa_Renewable_Energy_SA,Vestas_Wind_Systems_A/S,Ocado_Group_PLC,Independent_News_&_Media_PLC,REC_Silicon_ASA,Atresmedia_Corp_de_Medios_de_Comunicacio,Genmab_A/S,Sacyr_SA,Fingerprint_Cards_AB,Alcatel_Lucent_SA,CD_Projekt_SA,AIB_Group_PLC,Cie_Plastic_Omnium_SA,Paysafe_Group_Ltd,Zeltia_SA,Unipol_Gruppo_Finanziario_SpA,Bank_of_Ireland_Group_PLC,Unipol_Gruppo_Finanziario_SpA.1,Premier_Foods_PLC,Mediaset_SpA,A2A_SpA,Thomas_Cook_Group_PLC,LPP_SA,Eniro_AB,Bankinter_SA,Pandora_A/S,Electricite_de_France_SA,Valeo_SA,Regus_PLC,IWG_PLC,Peugeot_SA,Promotora_de_Informaciones_SA,Mediaset_Espana_Comunicacion_SA,United_Internet_AG,Meyer_Burger_Technology_AG,PostNL_NV,Autogrill_SpA,ITV_PLC,Jyske_Bank_A/S,ACEA_SpA,Thales_SA,Perrigo_Corp_DAC,Dixons_Retail_Group_Ltd,Fomento_de_Construcciones_y_Contratas_SA,Sports_Direct_International_PLC,Faurecia_SA,Smurfit_Kappa_Group_PLC,Howden_Joinery_Group_PLC,International_Personal_Finance_PLC,Kinnevik_AB,Technicolor_SA.1,Nokia_OYJ,International_Consolidated_Airlines_Grou,Grafton_Group_PLC.1,Wienerberger_AG,Swedish_Orphan_Biovitrum_AB,Duerr_AG,1&1_Drillisch_AG,Basilea_Pharmaceutica_AG,Nobel_Biocare_Holding_AG.1,-0.021391222564100653
2013-11-08,Vestas_Wind_Systems_A/S,Independent_News_&_Media_PLC,Ocado_Group_PLC,Siemens_Gamesa_Renewable_Energy_SA,REC_Silicon_ASA,Atresmedia_Corp_de_Medios_de_Comunicacio,Sacyr_SA,Premier_Foods_PLC,Genmab_A/S,Fingerprint_Cards_AB,Alcatel_Lucent_SA,CD_Projekt_SA,Eniro_AB,Unipol_Gruppo_Finanziario_SpA,Unipol_Gruppo_Finanziario_SpA.1,Cie_Plastic_Omnium_SA,Bank_of_Ireland_Group_PLC,Zeltia_SA,Mediaset_SpA,Fomento_de_Construcciones_y_Contratas_SA,Paysafe_Group_Ltd,LPP_SA,PostNL_NV,Basilea_Pharmaceutica_AG,A2A_SpA,Darty_Ltd,Dixons_Retail_Group_Ltd,Electricite_de_France_SA,Valeo_SA,Pandora_A/S,Nokia_OYJ,Bankinter_SA,United_Internet_AG,Jyske_Bank_A/S,McKesson_Europe_AG,IWG_PLC,Regus_PLC,Howden_Joinery_Group_PLC,TomTom_NV,Thomas_Cook_Group_PLC,Thales_SA,Promotora_de_Informaciones_SA,ACEA_SpA,Sports_Direct_International_PLC,Mediaset_Espana_Comunicacion_SA,ITV_PLC,Autogrill_SpA,Britvic_PLC,Seat_Pagine_Gialle_SpA,Perrigo_Corp_DAC,Wienerberger_AG,1&1_Drillisch_AG,Aareal_Bank_AG,Kinnevik_AB,Nobel_Biocare_Holding_AG.1,Home_Retail_Group_Ltd,International_Consolidated_Airlines_Grou,MorphoSys_AG,Rightmove_PLC,Evotec_AG,0.014125340776010019
2013-11-19,Vestas_Wind_Systems_A/S,Independent_News_&_Media_PLC,Siemens_Gamesa_Renewable_Energy_SA,Ocado_Group_PLC,Alcatel_Lucent_SA,REC_Silicon_ASA,Sacyr_SA,Atresmedia_Corp_de_Medios_de_Comunicacio,PostNL_NV,Eniro_AB,CD_Projekt_SA,Unipol_Gruppo_Finanziario_SpA,Mediaset_SpA,Genmab_A/S,Unipol_Gruppo_Finanziario_SpA.1,Bank_of_Ireland_Group_PLC,A2A_SpA,Cie_Plastic_Omnium_SA,Nokia_OYJ,LPP_SA,Zeltia_SA,Darty_Ltd,Paysafe_Group_Ltd,Thomas_Cook_Group_PLC,Fomento_de_Construcciones_y_Contratas_SA,Basilea_Pharmaceutica_AG,MorphoSys_AG,Electricite_de_France_SA,Dixons_Retail_Group_Ltd,Fingerprint_Cards_AB,Peugeot_SA,Meyer_Burger_Technology_AG,Sports_Direct_International_PLC,TomTom_NV,Thales_SA,Valeo_SA,Evotec_AG,Promotora_de_Informaciones_SA,ACEA_SpA,Pandora_A/S,Bankinter_SA,Regus_PLC,IWG_PLC,Jyske_Bank_A/S,AIB_Group_PLC,Singulus_Technologies_AG,Faurecia_SA,Howden_Joinery_Group_PLC,KBC_Ancora,Alpha_Bank_AE,McKesson_Europe_AG,Inmobiliaria_Colonial_Socimi_SA,Mediaset_Espana_Comunicacion_SA,Kinnevik_AB,Television_Francaise_1,Aareal_Bank_AG,ITV_PLC,Grafton_Group_PLC.1,Home_Retail_Group_Ltd,Rightmove_PLC,-0.007975237527593763
2013-11-28,Independent_News_&_Media_PLC,Vestas_Wind_Systems_A/S,Ocado_Group_PLC,Siemens_Gamesa_Renewable_Energy_SA,Alcatel_Lucent_SA,Eniro_AB,PostNL_NV,Sacyr_SA,Atresmedia_Corp_de_Medios_de_Comunicacio,Mediaset_SpA,Unipol_Gruppo_Finanziario_SpA,CD_Projekt_SA,Nokia_OYJ,A2A_SpA,Darty_Ltd,Thomas_Cook_Group_PLC,Unipol_Gruppo_Finanziario_SpA.1,Alpha_Bank_AE,ACEA_SpA,Basilea_Pharmaceutica_AG,Electricite_de_France_SA,Paysafe_Group_Ltd,Zeltia_SA,Singulus_Technologies_AG,Cie_Plastic_Omnium_SA,Pandora_A/S,Premier_Foods_PLC,Fomento_de_Construcciones_y_Contratas_SA,Genmab_A/S,1&1_Drillisch_AG,Valeo_SA,LPP_SA,Meyer_Burger_Technology_AG,Bank_of_Ireland_Group_PLC,MorphoSys_AG,Sports_Direct_International_PLC,TomTom_NV,REC_Silicon_ASA,Evotec_AG,McKesson_Europe_AG,Faurecia_SA,Swedish_Orphan_Biovitrum_AB,Peugeot_SA,Lloyds_Banking_Group_PLC,AIB_Group_PLC,United_Internet_AG,Hellenic_Telecommunications_Organization,Autogrill_SpA,Panalpina_Welttransport_Holding_AG,Bankinter_SA,KBC_Ancora,Società_Cattolica_di_Assicurazioni_SCRL,UnipolSai_Assicurazioni_SpA,Fingerprint_Cards_AB,Vifor_Pharma_AG.1,Vifor_Pharma_AG,Public_Power_Corp_SA,GVC_Holdings_PLC,Dixons_Retail_Group_Ltd,Home_Retail_Group_Ltd,0.02202046601171024
2013-12-09,Independent_News_&_Media_PLC,Vestas_Wind_Systems_A/S,Eniro_AB,Alcatel_Lucent_SA,Siemens_Gamesa_Renewable_Energy_SA,Sacyr_SA,Ocado_Group_PLC,PostNL_NV,Alpha_Bank_AE,CD_Projekt_SA,Atresmedia_Corp_de_Medios_de_Comunicacio,Nokia_OYJ,Darty_Ltd,Mediaset_SpA,ACEA_SpA,Paysafe_Group_Ltd,Reach_PLC,KBC_Ancora,Zeltia_SA,Unipol_Gruppo_Finanziario_SpA,Leoni_AG,Cie_Plastic_Omnium_SA,Faurecia_SA,Electricite_de_France_SA,Public_Power_Corp_SA,Singulus_Technologies_AG,Pandora_A/S,Meyer_Burger_Technology_AG,Valeo_SA,Sports_Direct_International_PLC,Fomento_de_Construcciones_y_Contratas_SA,MorphoSys_AG,Basilea_Pharmaceutica_AG,Unipol_Gruppo_Finanziario_SpA.1,A2A_SpA,Bankinter_SA,1&1_Drillisch_AG,Hellenic_Telecommunications_Organization,Peugeot_SA,Genmab_A/S,REC_Silicon_ASA,Bank_of_Ireland_Group_PLC,TomTom_NV,Kinnevik_AB,Unione_di_Banche_Italiane_S.p.A.,United_Internet_AG,Fingerprint_Cards_AB,CECONOMY_AG,Evotec_AG,Inmobiliaria_Colonial_Socimi_SA,BTG_PLC,Panalpina_Welttransport_Holding_AG,Thomas_Cook_Group_PLC,Lloyds_Banking_Group_PLC,Algeta_ASA,LPP_SA,Logitech_International_SA.1,Logitech_International_SA,Titan_Cement_Co_SA,McKesson_Europe_AG,-0.02373357211088064
2013-12-18,Independent_News_&_Media_PLC,Alcatel_Lucent_SA,Vestas_Wind_Systems_A/S,Eniro_AB,Siemens_Gamesa_Renewable_Energy_SA,PostNL_NV,Sacyr_SA,Atresmedia_Corp_de_Medios_de_Comunicacio,Ocado_Group_PLC,CD_Projekt_SA,Darty_Ltd,Alpha_Bank_AE,Nokia_OYJ,Peugeot_SA,ACEA_SpA,Reach_PLC,KBC_Ancora,Faurecia_SA,Fomento_de_Construcciones_y_Contratas_SA,Hellenic_Telecommunications_Organization,Public_Power_Corp_SA,Mediaset_SpA,Paysafe_Group_Ltd,Bankinter_SA,Cie_Plastic_Omnium_SA,Unipol_Gruppo_Finanziario_SpA,Valeo_SA,Sports_Direct_International_PLC,Zeltia_SA,Electricite_de_France_SA,Marfin_Investment_Group_Holdings_SA,Leoni_AG,Basilea_Pharmaceutica_AG,Evotec_AG,Sky_Deutschland_AG,Fingerprint_Cards_AB,Thomas_Cook_Group_PLC,Pandora_A/S,Panalpina_Welttransport_Holding_AG,Bank_of_Ireland_Group_PLC,REC_Silicon_ASA,ING_Groep_NV,Logitech_International_SA,Logitech_International_SA.1,Unione_di_Banche_Italiane_S.p.A.,AIB_Group_PLC,Singulus_Technologies_AG,A2A_SpA,Areva_SA,Genmab_A/S,TomTom_NV,Lloyds_Banking_Group_PLC,Unipol_Gruppo_Finanziario_SpA.1,Continental_AG,MorphoSys_AG,Promotora_de_Informaciones_SA,Banca_Piccolo_Credito_Valtellinese_Scarl,NH_Hotel_Group_SA,BTG_PLC,NOS_SGPS_SA,-0.014954153326142831
2013-12-27,Independent_News_&_Media_PLC,Vestas_Wind_Systems_A/S,Alcatel_Lucent_SA,Eniro_AB,Siemens_Gamesa_Renewable_Energy_SA,Ocado_Group_PLC,Atresmedia_Corp_de_Medios_de_Comunicacio,Sacyr_SA,CD_Projekt_SA,Alpha_Bank_AE,PostNL_NV,Paysafe_Group_Ltd,Darty_Ltd,Faurecia_SA,Fomento_de_Construcciones_y_Contratas_SA,Bankinter_SA,Nokia_OYJ,Reach_PLC,KBC_Ancora,Sky_Deutschland_AG,Singulus_Technologies_AG,Valeo_SA,Zeltia_SA,Public_Power_Corp_SA,Leoni_AG,Basilea_Pharmaceutica_AG,Mediaset_SpA,Unione_di_Banche_Italiane_S.p.A.,Pandora_A/S,Cie_Plastic_Omnium_SA,Hellenic_Telecommunications_Organization,Promotora_de_Informaciones_SA,Unipol_Gruppo_Finanziario_SpA,ACEA_SpA,NOS_SGPS_SA,Continental_AG,Banco_Comercial_Portugues_SA,Premier_Foods_PLC,Sports_Direct_International_PLC,Logitech_International_SA.1,Logitech_International_SA,Television_Francaise_1,Panalpina_Welttransport_Holding_AG,Lloyds_Banking_Group_PLC,Thomas_Cook_Group_PLC,Kinnevik_AB,Bank_of_Ireland_Group_PLC,MorphoSys_AG,BTG_PLC,Algeta_ASA,Unipol_Gruppo_Finanziario_SpA.1,Heidelberger_Druckmaschinen_AG,ING_Groep_NV,Marfin_Investment_Group_Holdings_SA,International_Consolidated_Airlines_Grou,Peugeot_SA,Electricite_de_France_SA,Britvic_PLC,Dixons_Retail_Group_Ltd,Grafton_Group_PLC.1,0.036421892232776316
2014-01-07,Independent_News_&_Media_PLC,Vestas_Wind_Systems_A/S,Eniro_AB,Alcatel_Lucent_SA,Ocado_Group_PLC,Siemens_Gamesa_Renewable_Energy_SA,Sacyr_SA,CD_Projekt_SA,Atresmedia_Corp_de_Medios_de_Comunicacio,PostNL_NV,Faurecia_SA,Reach_PLC,Darty_Ltd,Paysafe_Group_Ltd,Nokia_OYJ,Fomento_de_Construcciones_y_Contratas_SA,Bankinter_SA,Valeo_SA,KBC_Ancora,Basilea_Pharmaceutica_AG,Alpha_Bank_AE,Mediaset_SpA,Banco_Comercial_Portugues_SA,Continental_AG,Promotora_de_Informaciones_SA,Television_Francaise_1,Leoni_AG,Meyer_Burger_Technology_AG,Sky_Deutschland_AG,Dialog_Semiconductor_PLC,Singulus_Technologies_AG,Logitech_International_SA,Logitech_International_SA.1,Nex_International_Ltd,NEX_Group_Ltd,Pandora_A/S,Cie_Plastic_Omnium_SA,Lloyds_Banking_Group_PLC,Evotec_AG,Kinnevik_AB,Heidelberger_Druckmaschinen_AG,Sports_Direct_International_PLC,ING_Groep_NV,Aareal_Bank_AG,Unipol_Gruppo_Finanziario_SpA,Unione_di_Banche_Italiane_S.p.A.,REC_Silicon_ASA,Societe_Generale_SA,BTG_PLC,Panalpina_Welttransport_Holding_AG,Pirelli_&_C_SpA,Zeltia_SA,Peugeot_SA,Algeta_ASA,ACEA_SpA,Fingerprint_Cards_AB,Areva_SA,Georg_Fischer_AG,Premier_Foods_PLC,MorphoSys_AG,0.0343406617761381
2014-01-16,Independent_News_&_Media_PLC,Vestas_Wind_Systems_A/S,Alcatel_Lucent_SA,Eniro_AB,Siemens_Gamesa_Renewable_Energy_SA,Ocado_Group_PLC,Atresmedia_Corp_de_Medios_de_Comunicacio,Paysafe_Group_Ltd,PostNL_NV,Reach_PLC,CD_Projekt_SA,Darty_Ltd,Nokia_OYJ,Fomento_de_Construcciones_y_Contratas_SA,Sacyr_SA,Logitech_International_SA.1,Logitech_International_SA,Basilea_Pharmaceutica_AG,Meyer_Burger_Technology_AG,Faurecia_SA,Bankinter_SA,Promotora_de_Informaciones_SA,KBC_Ancora,Pandora_A/S,Singulus_Technologies_AG,Valeo_SA,Television_Francaise_1,Premier_Foods_PLC,BTG_PLC,Continental_AG,Kinnevik_AB,Areva_SA,Zeltia_SA,Sky_Deutschland_AG,Heidelberger_Druckmaschinen_AG,Norske_Skogindustrier_ASA,Banco_Comercial_Portugues_SA,Mediaset_SpA,Fingerprint_Cards_AB,Aareal_Bank_AG,RTL_Group_SA,Dialog_Semiconductor_PLC,Algeta_ASA,NEX_Group_Ltd,Nex_International_Ltd,Swedish_Orphan_Biovitrum_AB,Unipol_Gruppo_Finanziario_SpA,Leoni_AG,Panalpina_Welttransport_Holding_AG,MorphoSys_AG,Koninklijke_KPN_NV,Sports_Direct_International_PLC,NH_Hotel_Group_SA,AIB_Group_PLC,ACEA_SpA,TP_ICAP_PLC,Britvic_PLC,WS_Atkins_Ltd,Unipol_Gruppo_Finanziario_SpA.1,Wacker_Chemie_AG,0.06158811467278249
2014-01-27,Independent_News_&_Media_PLC,Vestas_Wind_Systems_A/S,Eniro_AB,Alcatel_Lucent_SA,Siemens_Gamesa_Renewable_Energy_SA,Paysafe_Group_Ltd,Permanent_TSB_Group_Holdings_PLC,Atresmedia_Corp_de_Medios_de_Comunicacio,Ocado_Group_PLC,PostNL_NV,Meyer_Burger_Technology_AG,Reach_PLC,Darty_Ltd,Sacyr_SA,CD_Projekt_SA,Fomento_de_Construcciones_y_Contratas_SA,Logitech_International_SA,Logitech_International_SA.1,Basilea_Pharmaceutica_AG,AIB_Group_PLC,Norske_Skogindustrier_ASA,Nokia_OYJ,Bankinter_SA,Faurecia_SA,Promotora_de_Informaciones_SA,KBC_Ancora,Zeltia_SA,Premier_Foods_PLC,Television_Francaise_1,Peugeot_SA,Banco_Comercial_Portugues_SA,Fingerprint_Cards_AB,Valeo_SA,REC_Silicon_ASA,MorphoSys_AG,NH_Hotel_Group_SA,Heidelberger_Druckmaschinen_AG,Mediaset_SpA,Banco_Popular_Espanol_SA,BTG_PLC,NMC_Health_PLC,Kinnevik_AB,Singulus_Technologies_AG,Commerzbank_AG,EI_Group_PLC,Wacker_Chemie_AG,Unione_di_Banche_Italiane_S.p.A.,ITV_PLC,Koninklijke_KPN_NV,WS_Atkins_Ltd,RTL_Group_SA,Bank_of_Ireland_Group_PLC,TP_ICAP_PLC,RTL_Group_SA.1,Nex_International_Ltd,NEX_Group_Ltd,Evotec_AG,Algeta_ASA,Continental_AG,Pandora_A/S,-0.06716671464302987
2014-02-05,Independent_News_&_Media_PLC,Vestas_Wind_Systems_A/S,Atresmedia_Corp_de_Medios_de_Comunicacio,Siemens_Gamesa_Renewable_Energy_SA,Alcatel_Lucent_SA,Eniro_AB,Fomento_de_Construcciones_y_Contratas_SA,CD_Projekt_SA,Permanent_TSB_Group_Holdings_PLC,Paysafe_Group_Ltd,Logitech_International_SA,Logitech_International_SA.1,PostNL_NV,Sacyr_SA,Darty_Ltd,Promotora_de_Informaciones_SA,Meyer_Burger_Technology_AG,Premier_Foods_PLC,AIB_Group_PLC,Reach_PLC,Norske_Skogindustrier_ASA,Rautaruukki_OYJ,Ocado_Group_PLC,Bankinter_SA,Basilea_Pharmaceutica_AG,KBC_Ancora,Faurecia_SA,BTG_PLC,Swedish_Orphan_Biovitrum_AB,NMC_Health_PLC,Zeltia_SA,MorphoSys_AG,Wacker_Chemie_AG,Nokia_OYJ,Commerzbank_AG,NH_Hotel_Group_SA,Heidelberger_Druckmaschinen_AG,Valeo_SA,Banco_Comercial_Portugues_SA,Koninklijke_KPN_NV,Banco_Popular_Espanol_SA,Television_Francaise_1,Fingerprint_Cards_AB,Bank_of_Ireland_Group_PLC,WS_Atkins_Ltd,Continental_AG,Ambu_A/S,Singulus_Technologies_AG,Peugeot_SA,Panalpina_Welttransport_Holding_AG,OCI_NV,Orange_Participations_UK_Ltd,Britvic_PLC,AP_Moller_-_Maersk_A/S,McKesson_Europe_AG,ITV_PLC,Unione_di_Banche_Italiane_S.p.A.,1&1_Drillisch_AG,RPC_Group_PLC,Kindred_Group_PLC,0.005051431497494702
2014-02-14,Independent_News_&_Media_PLC,Promotora_de_Informaciones_SA,Atresmedia_Corp_de_Medios_de_Comunicacio,Alcatel_Lucent_SA,Paysafe_Group_Ltd,Fomento_de_Construcciones_y_Contratas_SA,Eniro_AB,Permanent_TSB_Group_Holdings_PLC,Logitech_International_SA.1,Logitech_International_SA,Bankia_SA,Siemens_Gamesa_Renewable_Energy_SA,PostNL_NV,CD_Projekt_SA,Vestas_Wind_Systems_A/S,Premier_Foods_PLC,Bankinter_SA,Norske_Skogindustrier_ASA,Ocado_Group_PLC,AIB_Group_PLC,Sacyr_SA,Darty_Ltd,Nokia_OYJ,Faurecia_SA,Basilea_Pharmaceutica_AG,Banco_Comercial_Portugues_SA,Singulus_Technologies_AG,BTG_PLC,KBC_Ancora,1&1_Drillisch_AG,Meyer_Burger_Technology_AG,NMC_Health_PLC,NH_Hotel_Group_SA,Hellenic_Telecommunications_Organization,MorphoSys_AG,Swedish_Orphan_Biovitrum_AB,CaixaBank_SA,Fingerprint_Cards_AB,Rautaruukki_OYJ,Ambu_A/S,Heidelberger_Druckmaschinen_AG,Orange_Participations_UK_Ltd,WS_Atkins_Ltd,Valeo_SA,Panalpina_Welttransport_Holding_AG,Koninklijke_KPN_NV,Commerzbank_AG,Banco_de_Sabadell_SA,Reach_PLC,Areva_SA,Banco_Popular_Espanol_SA,McKesson_Europe_AG,Zeltia_SA,Television_Francaise_1,Unione_di_Banche_Italiane_S.p.A.,Peugeot_SA,Actelion_Ltd.1,Actelion_Ltd,Pandora_A/S,Hargreaves_Lansdown_PLC,0.042166399776778746
2014-02-25,Independent_News_&_Media_PLC,Permanent_TSB_Group_Holdings_PLC,Atresmedia_Corp_de_Medios_de_Comunicacio,Paysafe_Group_Ltd,Vestas_Wind_Systems_A/S,Alcatel_Lucent_SA,Siemens_Gamesa_Renewable_Energy_SA,Eniro_AB,Bankinter_SA,Logitech_International_SA.1,Logitech_International_SA,Meyer_Burger_Technology_AG,Ocado_Group_PLC,CD_Projekt_SA,Fomento_de_Construcciones_y_Contratas_SA,Bankia_SA,Darty_Ltd,Reach_PLC,Norske_Skogindustrier_ASA,Premier_Foods_PLC,1&1_Drillisch_AG,Banco_Comercial_Portugues_SA,Swedish_Orphan_Biovitrum_AB,Promotora_de_Informaciones_SA,KBC_Ancora,Nokia_OYJ,Basilea_Pharmaceutica_AG,PostNL_NV,Sacyr_SA,Unione_di_Banche_Italiane_S.p.A.,NH_Hotel_Group_SA,Rautaruukki_OYJ,Commerzbank_AG,Koninklijke_KPN_NV,Bank_of_Ireland_Group_PLC,CaixaBank_SA,Banco_de_Sabadell_SA,Singulus_Technologies_AG,Hellenic_Telecommunications_Organization,WS_Atkins_Ltd,Peugeot_SA,BTG_PLC,Wacker_Chemie_AG,Faurecia_SA,ITV_PLC,Banco_Espirito_Santo_SA,Valeo_SA,Pandora_A/S,NMC_Health_PLC,International_Consolidated_Airlines_Grou,Mediaset_SpA,Unipol_Gruppo_Finanziario_SpA,Leonardo_SpA,Areva_SA,Continental_AG,Johnston_Press_PLC,MorphoSys_AG,Orange_Participations_UK_Ltd,Ambu_A/S,Unipol_Gruppo_Finanziario_SpA.1,0.01791955047617827
