Date,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Returns
2013-09-20,National_Bank_of_Greece_SA,Clariant_AG,Clariant_AG.1,AIXTRON_SE,LafargeHolcim_Ltd.1,LafargeHolcim_Ltd,Sonova_Holding_AG,Sonova_Holding_AG.1,MorphoSys_AG,ABB_Ltd,ABB_Ltd.1,EMS-Chemie_Holding_AG.1,EMS-Chemie_Holding_AG,Wienerberger_AG,Generali_Deutschland_Holding_AG,AVEVA_Group_PLC,Italcementi_SpA,Rockwool_International_A/S,Bourbon_Corp,Danone_SA,Autoliv_Inc,Suedzucker_AG,Singulus_Technologies_AG,Mediaset_Espana_Comunicacion_SA,Geberit_AG.1,Geberit_AG,Eurofins_Scientific_SE,Zurich_Insurance_Group_AG.1,Zurich_Insurance_Group_AG,AGFA-Gevaert_NV,MLP_SE,TDC_A/S,CEZ_AS,BE_Semiconductor_Industries_NV,Hunting_PLC,Jeronimo_Martins_SGPS_SA,Arnoldo_Mondadori_Editore_SpA,Wacker_Chemie_AG,Bouygues_SA,ICADE,Nokia_OYJ,EFG_International_AG,Davide_Campari-Milano_SpA,Straumann_Holding_AG,Ablynx_NV,Sika_AG,Sika_AG.1,Duerr_AG,Punch_Taverns_Ltd,Konecranes_OYJ,Faurecia_SA,Eurocommercial_Properties_NV,Metsa_Board_OYJ,Unibail-Rodamco_SE,Banca_Popolare_dell'Emilia_Romagna_Scrl,Peugeot_SA,Vivendi_SA,McKesson_Europe_AG,Etablissements_Maurel_et_Prom,Getlink_SE,0.013882639283211103
2013-10-01,National_Bank_of_Greece_SA,Clariant_AG,Clariant_AG.1,CEZ_AS,AIXTRON_SE,Generali_Deutschland_Holding_AG,AVEVA_Group_PLC,LafargeHolcim_Ltd.1,LafargeHolcim_Ltd,MorphoSys_AG,EMS-Chemie_Holding_AG,EMS-Chemie_Holding_AG.1,Bourbon_Corp,AGFA-Gevaert_NV,ABB_Ltd.1,ABB_Ltd,Arnoldo_Mondadori_Editore_SpA,Eurofins_Scientific_SE,Wienerberger_AG,BE_Semiconductor_Industries_NV,Sonova_Holding_AG,Sonova_Holding_AG.1,Danone_SA,Italcementi_SpA,Autoliv_Inc,Rockwool_International_A/S,MLP_SE,ICADE,TGS_NOPEC_Geophysical_Co_ASA,Mediaset_Espana_Comunicacion_SA,TDC_A/S,Eurocommercial_Properties_NV,TP_ICAP_PLC,Hunting_PLC,Sanoma_OYJ,Ablynx_NV,Zurich_Insurance_Group_AG,Zurich_Insurance_Group_AG.1,Tate_&_Lyle_PLC,Suedzucker_AG,Bouygues_SA,Duerr_AG,WH_Smith_PLC,Brenntag_AG,Getlink_SE,Ladbrokes_Coral_Group_Ltd,Jeronimo_Martins_SGPS_SA,Konecranes_OYJ,Etablissements_Maurel_et_Prom,Stolt-Nielsen_Ltd,Singulus_Technologies_AG,Straumann_Holding_AG,Petroleum_Geo-Services_ASA,Nokia_OYJ,McKesson_Europe_AG,Metsa_Board_OYJ,Koninklijke_Ahold_Delhaize_NV,Banca_Popolare_dell'Emilia_Romagna_Scrl,Santander_Bank_Polska_SA,Geberit_AG.1,-0.01216775878593253
2013-10-10,National_Bank_of_Greece_SA,Clariant_AG,Clariant_AG.1,Generali_Deutschland_Holding_AG,AVEVA_Group_PLC,AIXTRON_SE,CEZ_AS,LafargeHolcim_Ltd.1,LafargeHolcim_Ltd,MorphoSys_AG,EMS-Chemie_Holding_AG.1,EMS-Chemie_Holding_AG,AGFA-Gevaert_NV,Bourbon_Corp,ABB_Ltd.1,ABB_Ltd,Eurofins_Scientific_SE,TGS_NOPEC_Geophysical_Co_ASA,Wienerberger_AG,BE_Semiconductor_Industries_NV,MLP_SE,Rockwool_International_A/S,ICADE,Arnoldo_Mondadori_Editore_SpA,Danone_SA,TDC_A/S,Mediaset_Espana_Comunicacion_SA,TP_ICAP_PLC,Italcementi_SpA,Sonova_Holding_AG,Sonova_Holding_AG.1,Autoliv_Inc,Eurocommercial_Properties_NV,Jeronimo_Martins_SGPS_SA,Hunting_PLC,Rolls-Royce_Power_Systems_AG,Tate_&_Lyle_PLC,Brenntag_AG,Etablissements_Maurel_et_Prom,Duerr_AG,Konecranes_OYJ,Bouygues_SA,Stolt-Nielsen_Ltd,Zurich_Insurance_Group_AG.1,Zurich_Insurance_Group_AG,Ablynx_NV,Sanoma_OYJ,Nokia_OYJ,Petroleum_Geo-Services_ASA,Ladbrokes_Coral_Group_Ltd,Ferrovial_SA,Covivio,Klepierre_SA,Friends_Life_Group_Ltd,Geberit_AG.1,Geberit_AG,Suedzucker_AG,Santander_Bank_Polska_SA,Singulus_Technologies_AG,Koninklijke_Ahold_Delhaize_NV,-0.01422523507634101
2013-10-21,AIXTRON_SE,National_Bank_of_Greece_SA,Clariant_AG,Clariant_AG.1,MorphoSys_AG,AVEVA_Group_PLC,CEZ_AS,Generali_Deutschland_Holding_AG,AGFA-Gevaert_NV,Bourbon_Corp,EMS-Chemie_Holding_AG.1,EMS-Chemie_Holding_AG,LafargeHolcim_Ltd,LafargeHolcim_Ltd.1,ABB_Ltd,ABB_Ltd.1,BE_Semiconductor_Industries_NV,Rockwool_International_A/S,Eurofins_Scientific_SE,Wienerberger_AG,MLP_SE,ICADE,Rolls-Royce_Power_Systems_AG,Hunting_PLC,Sonova_Holding_AG.1,Sonova_Holding_AG,Danone_SA,Jeronimo_Martins_SGPS_SA,Arnoldo_Mondadori_Editore_SpA,Italcementi_SpA,Autoliv_Inc,Ablynx_NV,Nokia_OYJ,Mediaset_Espana_Comunicacion_SA,Brenntag_AG,TGS_NOPEC_Geophysical_Co_ASA,Tate_&_Lyle_PLC,TDC_A/S,TP_ICAP_PLC,Eurocommercial_Properties_NV,Banca_Popolare_dell'Emilia_Romagna_Scrl,Konecranes_OYJ,Duerr_AG,Santander_Bank_Polska_SA,Geberit_AG.1,Geberit_AG,Ferrovial_SA,Klepierre_SA,Bouygues_SA,Vivendi_SA,Friends_Life_Group_Ltd,BT_Group_PLC,Getlink_SE,Davide_Campari-Milano_SpA,Stolt-Nielsen_Ltd,Covivio,Komercni_banka_as,Schneider_Electric_SE,Petroleum_Geo-Services_ASA,WH_Smith_PLC,0.0425350596438452
2013-10-30,EMS-Chemie_Holding_AG.1,EMS-Chemie_Holding_AG,National_Bank_of_Greece_SA,MorphoSys_AG,Eurofins_Scientific_SE,Generali_Deutschland_Holding_AG,AGFA-Gevaert_NV,CEZ_AS,Clariant_AG.1,Clariant_AG,AIXTRON_SE,AVEVA_Group_PLC,Sonova_Holding_AG,Sonova_Holding_AG.1,Danone_SA,Bourbon_Corp,ICADE,ABB_Ltd.1,ABB_Ltd,Wienerberger_AG,Rockwool_International_A/S,Actelion_Ltd.1,Actelion_Ltd,Hunting_PLC,Brenntag_AG,LafargeHolcim_Ltd,LafargeHolcim_Ltd.1,Ferrovial_SA,Ablynx_NV,Italcementi_SpA,Rolls-Royce_Power_Systems_AG,Arnoldo_Mondadori_Editore_SpA,Santander_Bank_Polska_SA,TP_ICAP_PLC,TGS_NOPEC_Geophysical_Co_ASA,Covivio,Tate_&_Lyle_PLC,MLP_SE,BE_Semiconductor_Industries_NV,Klepierre_SA,Autoliv_Inc,TDC_A/S,Nokia_OYJ,Anheuser-Busch_InBev_SA/NV,Getlink_SE,Eurocommercial_Properties_NV,Davide_Campari-Milano_SpA,Jeronimo_Martins_SGPS_SA,Metsa_Board_OYJ,Konecranes_OYJ,Duerr_AG,Sky_Deutschland_AG,ProSiebenSat.1_Media_SE,Rieter_Holding_AG,Banca_Popolare_dell'Emilia_Romagna_Scrl,SAP_SE,Stolt-Nielsen_Ltd,Koninklijke_Ahold_Delhaize_NV,Etablissements_Maurel_et_Prom,Merck_KGaA,0.016743993617793846
2013-11-08,National_Bank_of_Greece_SA,MorphoSys_AG,EMS-Chemie_Holding_AG.1,EMS-Chemie_Holding_AG,Eurofins_Scientific_SE,AGFA-Gevaert_NV,AVEVA_Group_PLC,Generali_Deutschland_Holding_AG,Sonova_Holding_AG.1,Sonova_Holding_AG,Rockwool_International_A/S,Clariant_AG,Clariant_AG.1,MLP_SE,AIXTRON_SE,Danone_SA,Rolls-Royce_Power_Systems_AG,ICADE,Wienerberger_AG,Hunting_PLC,Actelion_Ltd.1,Actelion_Ltd,Bourbon_Corp,Brenntag_AG,CEZ_AS,TGS_NOPEC_Geophysical_Co_ASA,Santander_Bank_Polska_SA,Italcementi_SpA,Covivio,SAP_SE,Anheuser-Busch_InBev_SA/NV,Ferrovial_SA,Duerr_AG,TP_ICAP_PLC,Sky_Deutschland_AG,Klepierre_SA,Ablynx_NV,Jeronimo_Martins_SGPS_SA,ABB_Ltd,ABB_Ltd.1,Autoliv_Inc,LafargeHolcim_Ltd.1,LafargeHolcim_Ltd,Metsa_Board_OYJ,Eurocommercial_Properties_NV,Nokia_OYJ,Davide_Campari-Milano_SpA,BE_Semiconductor_Industries_NV,Getlink_SE,ProSiebenSat.1_Media_SE,Banca_Popolare_dell'Emilia_Romagna_Scrl,Metropole_Television_SA,Tate_&_Lyle_PLC,Barry_Callebaut_AG,Rieter_Holding_AG,Konecranes_OYJ,Coloplast_A/S,Intrum_AB,EFG_International_AG,Stolt-Nielsen_Ltd,0.010565154921123554
2013-11-19,National_Bank_of_Greece_SA,Generali_Deutschland_Holding_AG,MLP_SE,Wienerberger_AG,EMS-Chemie_Holding_AG.1,EMS-Chemie_Holding_AG,MorphoSys_AG,AVEVA_Group_PLC,Italcementi_SpA,AGFA-Gevaert_NV,Eurofins_Scientific_SE,Nokia_OYJ,Rockwool_International_A/S,Covivio,Bourbon_Corp,Etablissements_Maurel_et_Prom,TGS_NOPEC_Geophysical_Co_ASA,Danone_SA,Clariant_AG,Clariant_AG.1,Hunting_PLC,EFG_International_AG,Duerr_AG,Actelion_Ltd,Actelion_Ltd.1,Ablynx_NV,Sonova_Holding_AG.1,Sonova_Holding_AG,Brenntag_AG,Getlink_SE,ABB_Ltd,ABB_Ltd.1,Anheuser-Busch_InBev_SA/NV,Santander_Bank_Polska_SA,LafargeHolcim_Ltd,LafargeHolcim_Ltd.1,Sky_Deutschland_AG,SIG_PLC,TP_ICAP_PLC,SAP_SE,Klepierre_SA,AIXTRON_SE,Amec_Foster_Wheeler_Ltd,ICADE,BE_Semiconductor_Industries_NV,Konecranes_OYJ,Freenet_AG,CEZ_AS,OC_Oerlikon_Corp_AG.1,OC_Oerlikon_Corp_AG,Eurocommercial_Properties_NV,Straumann_Holding_AG,Aalberts_Industries_NV,Banca_Popolare_dell'Emilia_Romagna_Scrl,Tate_&_Lyle_PLC,NEX_Group_Ltd,Nex_International_Ltd,Amadeus_IT_Group_SA,Gecina_SA,Davide_Campari-Milano_SpA,0.00017004028101779423
2013-11-28,National_Bank_of_Greece_SA,MLP_SE,Generali_Deutschland_Holding_AG,EMS-Chemie_Holding_AG.1,EMS-Chemie_Holding_AG,Eurofins_Scientific_SE,MorphoSys_AG,Wienerberger_AG,OC_Oerlikon_Corp_AG.1,OC_Oerlikon_Corp_AG,Nokia_OYJ,Covivio,Actelion_Ltd,Actelion_Ltd.1,Sky_Deutschland_AG,AVEVA_Group_PLC,EFG_International_AG,Italcementi_SpA,TGS_NOPEC_Geophysical_Co_ASA,Getlink_SE,Sonova_Holding_AG,Sonova_Holding_AG.1,Ablynx_NV,AGFA-Gevaert_NV,Clariant_AG,Clariant_AG.1,Anheuser-Busch_InBev_SA/NV,Etablissements_Maurel_et_Prom,ABB_Ltd,ABB_Ltd.1,Rockwool_International_A/S,Ambu_A/S,ICADE,Klepierre_SA,Amec_Foster_Wheeler_Ltd,Santander_Bank_Polska_SA,Hunting_PLC,Danone_SA,Duerr_AG,AIXTRON_SE,Brenntag_AG,CEZ_AS,Intrum_AB,Gecina_SA,Eurocommercial_Properties_NV,Banque_Cantonale_Vaudoise,Jupiter_Fund_Management_PLC,Brisa_Auto-Estradas_de_Portugal_SA,SIG_PLC,Kabel_Deutschland_Holding_AG,SAP_SE,Metropole_Television_SA,TP_ICAP_PLC,Konecranes_OYJ,LafargeHolcim_Ltd.1,LafargeHolcim_Ltd,Metsa_Board_OYJ,Sika_AG,Sika_AG.1,Halfords_Group_PLC,-0.002287281254185423
2013-12-09,National_Bank_of_Greece_SA,MLP_SE,Eurofins_Scientific_SE,Generali_Deutschland_Holding_AG,EMS-Chemie_Holding_AG,EMS-Chemie_Holding_AG.1,Wienerberger_AG,MorphoSys_AG,Sonova_Holding_AG,Sonova_Holding_AG.1,Ambu_A/S,Nokia_OYJ,Amec_Foster_Wheeler_Ltd,Sky_Deutschland_AG,AVEVA_Group_PLC,OC_Oerlikon_Corp_AG,OC_Oerlikon_Corp_AG.1,ICADE,EFG_International_AG,Covivio,Ablynx_NV,TGS_NOPEC_Geophysical_Co_ASA,Getlink_SE,Actelion_Ltd.1,Actelion_Ltd,Clariant_AG,Clariant_AG.1,Rockwool_International_A/S,Anheuser-Busch_InBev_SA/NV,Klepierre_SA,Etablissements_Maurel_et_Prom,Italcementi_SpA,AGFA-Gevaert_NV,Banca_Popolare_dell'Emilia_Romagna_Scrl,CEZ_AS,Eurocommercial_Properties_NV,ABB_Ltd,ABB_Ltd.1,TP_ICAP_PLC,Danone_SA,Metropole_Television_SA,dormakaba_Holding_AG,Gecina_SA,Hunting_PLC,Brisa_Auto-Estradas_de_Portugal_SA,Deutsche_EuroShop_AG,CGG_SA,LafargeHolcim_Ltd.1,LafargeHolcim_Ltd,Metsa_Board_OYJ,AIXTRON_SE,Thomas_Cook_Group_PLC,Amadeus_IT_Group_SA,Hera_SpA,SIG_PLC,Nex_International_Ltd,NEX_Group_Ltd,Jupiter_Fund_Management_PLC,Ferrovial_SA,EXOR_NV,-0.020258640315133112
2013-12-18,National_Bank_of_Greece_SA,Generali_Deutschland_Holding_AG,MLP_SE,MorphoSys_AG,Eurofins_Scientific_SE,EMS-Chemie_Holding_AG,EMS-Chemie_Holding_AG.1,Wienerberger_AG,ICADE,Sonova_Holding_AG.1,Sonova_Holding_AG,Covivio,TGS_NOPEC_Geophysical_Co_ASA,Amec_Foster_Wheeler_Ltd,Sky_Deutschland_AG,Actelion_Ltd,Actelion_Ltd.1,OC_Oerlikon_Corp_AG.1,OC_Oerlikon_Corp_AG,Ambu_A/S,Nokia_OYJ,EFG_International_AG,AVEVA_Group_PLC,Italcementi_SpA,Rockwool_International_A/S,Deutsche_EuroShop_AG,CEZ_AS,Klepierre_SA,dormakaba_Holding_AG,Clariant_AG,Clariant_AG.1,Ablynx_NV,Rieter_Holding_AG,Getlink_SE,Gecina_SA,AGFA-Gevaert_NV,Freenet_AG,Ferrovial_SA,Banca_Popolare_dell'Emilia_Romagna_Scrl,Duerr_AG,Brenntag_AG,Jupiter_Fund_Management_PLC,ABB_Ltd,ABB_Ltd.1,Metropole_Television_SA,Amadeus_IT_Group_SA,Hera_SpA,SIG_PLC,Etablissements_Maurel_et_Prom,Givaudan_SA,Givaudan_SA.1,Metsa_Board_OYJ,Eurocommercial_Properties_NV,Anheuser-Busch_InBev_SA/NV,Thomas_Cook_Group_PLC,AIXTRON_SE,Smurfit_Kappa_Group_PLC,Petroleum_Geo-Services_ASA,Sika_AG.1,Sika_AG,-0.009736097045620467
2013-12-27,MLP_SE,National_Bank_of_Greece_SA,Generali_Deutschland_Holding_AG,Actelion_Ltd,Actelion_Ltd.1,Ablynx_NV,Sonova_Holding_AG.1,Sonova_Holding_AG,EMS-Chemie_Holding_AG.1,EMS-Chemie_Holding_AG,MorphoSys_AG,ICADE,Eurofins_Scientific_SE,CEZ_AS,Sky_Deutschland_AG,Covivio,Ambu_A/S,Amec_Foster_Wheeler_Ltd,Rockwool_International_A/S,Wienerberger_AG,Klepierre_SA,Nokia_OYJ,OC_Oerlikon_Corp_AG,OC_Oerlikon_Corp_AG.1,TGS_NOPEC_Geophysical_Co_ASA,AVEVA_Group_PLC,Deutsche_EuroShop_AG,Rieter_Holding_AG,Clariant_AG.1,Clariant_AG,Getlink_SE,Jeronimo_Martins_SGPS_SA,dormakaba_Holding_AG,Nex_International_Ltd,NEX_Group_Ltd,Freenet_AG,Amadeus_IT_Group_SA,Gecina_SA,Temenos_AG,Jupiter_Fund_Management_PLC,AGFA-Gevaert_NV,Domino's_Pizza_Group_PLC,AIXTRON_SE,Hera_SpA,Metropole_Television_SA,Danone_SA,Thomas_Cook_Group_PLC,Anheuser-Busch_InBev_SA/NV,Etablissements_Maurel_et_Prom,Ferrovial_SA,Metsa_Board_OYJ,Dragon_Oil_PLC,Ipsen_SA,Aalberts_Industries_NV,TP_ICAP_PLC,Coloplast_A/S,Givaudan_SA,Givaudan_SA.1,Allreal_Holding_AG,Banca_Popolare_dell'Emilia_Romagna_Scrl,0.03423867152232072
2014-01-07,MLP_SE,Actelion_Ltd.1,Actelion_Ltd,EMS-Chemie_Holding_AG,EMS-Chemie_Holding_AG.1,Sky_Deutschland_AG,Generali_Deutschland_Holding_AG,National_Bank_of_Greece_SA,Eurofins_Scientific_SE,Amadeus_IT_Group_SA,Covivio,PSP_Swiss_Property_AG,Allreal_Holding_AG,CEZ_AS,Nex_International_Ltd,NEX_Group_Ltd,Jeronimo_Martins_SGPS_SA,Amec_Foster_Wheeler_Ltd,Ambu_A/S,Temenos_AG,dormakaba_Holding_AG,Deutsche_EuroShop_AG,MorphoSys_AG,Rieter_Holding_AG,ICADE,Wienerberger_AG,TGS_NOPEC_Geophysical_Co_ASA,AVEVA_Group_PLC,Ablynx_NV,Getlink_SE,OC_Oerlikon_Corp_AG,OC_Oerlikon_Corp_AG.1,Klepierre_SA,AGFA-Gevaert_NV,Hera_SpA,Gecina_SA,Rockwool_International_A/S,Stolt-Nielsen_Ltd,Anheuser-Busch_InBev_SA/NV,GAGFAH_SA,Nokia_OYJ,TP_ICAP_PLC,Mobimo_Holding_AG,Freenet_AG,Banca_Popolare_dell'Emilia_Romagna_Scrl,Givaudan_SA.1,Givaudan_SA,Clariant_AG,Clariant_AG.1,Brenntag_AG,Metropole_Television_SA,SAP_SE,Zodiac_Aerospace,Chemring_Group_PLC,Jupiter_Fund_Management_PLC,Kabel_Deutschland_Holding_AG,Corio_NV,BAE_Systems_PLC,Thomas_Cook_Group_PLC,Fortum_OYJ,0.01522964216201017
2014-01-16,MLP_SE,Sky_Deutschland_AG,dormakaba_Holding_AG,EMS-Chemie_Holding_AG,EMS-Chemie_Holding_AG.1,Nex_International_Ltd,NEX_Group_Ltd,Actelion_Ltd.1,Actelion_Ltd,Allreal_Holding_AG,Generali_Deutschland_Holding_AG,Eurofins_Scientific_SE,CEZ_AS,Amadeus_IT_Group_SA,PSP_Swiss_Property_AG,Ambu_A/S,National_Bank_of_Greece_SA,Rieter_Holding_AG,Corio_NV,Evonik_Industries_AG,Chemring_Group_PLC,Ablynx_NV,Mobimo_Holding_AG,Getlink_SE,MorphoSys_AG,Wienerberger_AG,TGS_NOPEC_Geophysical_Co_ASA,Stolt-Nielsen_Ltd,Hera_SpA,Covivio,AGFA-Gevaert_NV,Zodiac_Aerospace,BAE_Systems_PLC,EXOR_NV,Smurfit_Kappa_Group_PLC,Schneider_Electric_SE,Brenntag_AG,Amec_Foster_Wheeler_Ltd,D/S_Norden_A/S,Klepierre_SA,NMC_Health_PLC,ICADE,Lloyds_Banking_Group_PLC,Gecina_SA,Givaudan_SA.1,Givaudan_SA,Clariant_AG,Clariant_AG.1,Freenet_AG,AVEVA_Group_PLC,Jupiter_Fund_Management_PLC,Kabel_Deutschland_Holding_AG,Rockwool_International_A/S,Anheuser-Busch_InBev_SA/NV,GAGFAH_SA,Deutsche_EuroShop_AG,Banca_Popolare_dell'Emilia_Romagna_Scrl,Nokia_OYJ,Coloplast_A/S,Arnoldo_Mondadori_Editore_SpA,0.02875782151294646
2014-01-27,MLP_SE,NEX_Group_Ltd,Nex_International_Ltd,dormakaba_Holding_AG,Actelion_Ltd,Actelion_Ltd.1,Eurofins_Scientific_SE,Ambu_A/S,National_Bank_of_Greece_SA,Allreal_Holding_AG,Sky_Deutschland_AG,EMS-Chemie_Holding_AG.1,EMS-Chemie_Holding_AG,Amadeus_IT_Group_SA,CEZ_AS,Generali_Deutschland_Holding_AG,Evonik_Industries_AG,Corio_NV,Rieter_Holding_AG,PSP_Swiss_Property_AG,Wienerberger_AG,Chemring_Group_PLC,Getlink_SE,Brenntag_AG,NMC_Health_PLC,Mobimo_Holding_AG,Covivio,Ablynx_NV,Klepierre_SA,Schneider_Electric_SE,Zodiac_Aerospace,Smurfit_Kappa_Group_PLC,Eurasian_Natural_Resources_Corp_Ltd,Hera_SpA,AVEVA_Group_PLC,BAE_Systems_PLC,MorphoSys_AG,AGFA-Gevaert_NV,L'Oreal_SA,Givaudan_SA.1,Givaudan_SA,EXOR_NV,Coloplast_A/S,Anheuser-Busch_InBev_SA/NV,Stolt-Nielsen_Ltd,AIB_Group_PLC,TGS_NOPEC_Geophysical_Co_ASA,Jupiter_Fund_Management_PLC,GAGFAH_SA,D/S_Norden_A/S,Metropole_Television_SA,Gecina_SA,ICADE,Metsa_Board_OYJ,Clariant_AG,Clariant_AG.1,Amec_Foster_Wheeler_Ltd,Experian_PLC,Lloyds_Banking_Group_PLC,Nokia_OYJ,-0.02876302903747323
2014-02-05,MLP_SE,Actelion_Ltd.1,Actelion_Ltd,Nex_International_Ltd,NEX_Group_Ltd,Eurofins_Scientific_SE,Corio_NV,Sky_Deutschland_AG,Allreal_Holding_AG,Brenntag_AG,Ambu_A/S,Evonik_Industries_AG,National_Bank_of_Greece_SA,EMS-Chemie_Holding_AG,EMS-Chemie_Holding_AG.1,Rieter_Holding_AG,dormakaba_Holding_AG,Amadeus_IT_Group_SA,Wienerberger_AG,CEZ_AS,Generali_Deutschland_Holding_AG,PSP_Swiss_Property_AG,Getlink_SE,Smurfit_Kappa_Group_PLC,Metsa_Board_OYJ,Chemring_Group_PLC,AGFA-Gevaert_NV,Stolt-Nielsen_Ltd,Ablynx_NV,Mobimo_Holding_AG,Klepierre_SA,Eurasian_Natural_Resources_Corp_Ltd,Givaudan_SA,Givaudan_SA.1,Covivio,BT_Group_PLC,Hera_SpA,AVEVA_Group_PLC,Coloplast_A/S,MorphoSys_AG,Lloyds_Banking_Group_PLC,D/S_Norden_A/S,Zodiac_Aerospace,Jupiter_Fund_Management_PLC,GAGFAH_SA,Clariant_AG,Clariant_AG.1,ICADE,Deutsche_EuroShop_AG,RTL_Group_SA.1,BAE_Systems_PLC,Grifols_SA,Experian_PLC,Metropole_Television_SA,Merck_KGaA,Kerry_Group_PLC,SAP_SE,Nestle_SA.1,Nestle_SA,NMC_Health_PLC,-0.009473083741028636
2014-02-14,MLP_SE,Merck_KGaA,EMS-Chemie_Holding_AG,EMS-Chemie_Holding_AG.1,Corio_NV,dormakaba_Holding_AG,CEZ_AS,Brenntag_AG,Actelion_Ltd,Actelion_Ltd.1,Eurofins_Scientific_SE,NEX_Group_Ltd,Nex_International_Ltd,Ambu_A/S,Allreal_Holding_AG,Metsa_Board_OYJ,Sonova_Holding_AG,Sonova_Holding_AG.1,Evonik_Industries_AG,Metropole_Television_SA,Smurfit_Kappa_Group_PLC,Amadeus_IT_Group_SA,D/S_Norden_A/S,Mobimo_Holding_AG,Rieter_Holding_AG,Eurasian_Natural_Resources_Corp_Ltd,Kerry_Group_PLC,Etablissements_Maurel_et_Prom,AVEVA_Group_PLC,Nestle_SA.1,Nestle_SA,Sky_Deutschland_AG,Deutsche_EuroShop_AG,Syngenta_AG,BT_Group_PLC,Nutreco_NV,Banca_Piccolo_Credito_Valtellinese_Scarl,Stolt-Nielsen_Ltd,Santander_Bank_Polska_SA,Grifols_SA,Klepierre_SA,Getlink_SE,Chemring_Group_PLC,Lloyds_Banking_Group_PLC,Novartis_AG,Novartis_AG.1,Roche_Holding_AG,Roche_Holding_AG.1,Titan_Cement_Co_SA,Covivio,PSP_Swiss_Property_AG,AGFA-Gevaert_NV,NMC_Health_PLC,Punch_Taverns_Ltd,MorphoSys_AG,BAE_Systems_PLC,EDP_-_Energias_de_Portugal_SA,AIB_Group_PLC,Rockwool_International_A/S,BG_Group_Ltd,0.03522813646228757
2014-02-25,MLP_SE,Brenntag_AG,Merck_KGaA,Eurofins_Scientific_SE,CEZ_AS,EMS-Chemie_Holding_AG,EMS-Chemie_Holding_AG.1,dormakaba_Holding_AG,Amadeus_IT_Group_SA,Evonik_Industries_AG,Corio_NV,Nestle_SA.1,Nestle_SA,Smurfit_Kappa_Group_PLC,Metropole_Television_SA,Mobimo_Holding_AG,Metsa_Board_OYJ,Sky_Deutschland_AG,Grifols_SA,Sonova_Holding_AG,Sonova_Holding_AG.1,Titan_Cement_Co_SA,Actelion_Ltd.1,Actelion_Ltd,AVEVA_Group_PLC,Allreal_Holding_AG,D/S_Norden_A/S,Novartis_AG,Novartis_AG.1,Eurasian_Natural_Resources_Corp_Ltd,Syngenta_AG,Kerry_Group_PLC,Rieter_Holding_AG,Etablissements_Maurel_et_Prom,Genmab_A/S,Ambu_A/S,Banca_Piccolo_Credito_Valtellinese_Scarl,Roche_Holding_AG,Roche_Holding_AG.1,Deutsche_EuroShop_AG,Santander_Bank_Polska_SA,AIB_Group_PLC,Alten_SA,Bourbon_Corp,Getlink_SE,Lloyds_Banking_Group_PLC,STADA_Arzneimittel_AG,EDP_-_Energias_de_Portugal_SA,TGS_NOPEC_Geophysical_Co_ASA,Straumann_Holding_AG,MorphoSys_AG,Wirecard_AG,Ablynx_NV,Covivio,Nex_International_Ltd,NEX_Group_Ltd,Zardoya_Otis_SA,OC_Oerlikon_Corp_AG,OC_Oerlikon_Corp_AG.1,Generali_Deutschland_Holding_AG,0.01938754739560381
2014-03-06,Brenntag_AG,Merck_KGaA,CEZ_AS,Eurofins_Scientific_SE,Nestle_SA,Nestle_SA.1,MLP_SE,dormakaba_Holding_AG,Smurfit_Kappa_Group_PLC,EMS-Chemie_Holding_AG.1,EMS-Chemie_Holding_AG,Amadeus_IT_Group_SA,Evonik_Industries_AG,Syngenta_AG,Corio_NV,Actelion_Ltd,Actelion_Ltd.1,Metsa_Board_OYJ,Grifols_SA,Banca_Piccolo_Credito_Valtellinese_Scarl,Roche_Holding_AG,Roche_Holding_AG.1,Novartis_AG.1,Novartis_AG,Metropole_Television_SA,Eurasian_Natural_Resources_Corp_Ltd,Allreal_Holding_AG,Etablissements_Maurel_et_Prom,AVEVA_Group_PLC,Sky_Deutschland_AG,Sonova_Holding_AG.1,Sonova_Holding_AG,Titan_Cement_Co_SA,Deutsche_EuroShop_AG,D/S_Norden_A/S,Bourbon_Corp,Kerry_Group_PLC,Mobimo_Holding_AG,Santander_Bank_Polska_SA,Nutreco_NV,AIB_Group_PLC,EDP_-_Energias_de_Portugal_SA,TGS_NOPEC_Geophysical_Co_ASA,Rieter_Holding_AG,Ambu_A/S,Gecina_SA,Alten_SA,Chr_Hansen_Holding_A/S,Covivio,MorphoSys_AG,Wereldhave_NV,Genmab_A/S,GAGFAH_SA,Givaudan_SA,Givaudan_SA.1,Getlink_SE,Wienerberger_AG,Jeronimo_Martins_SGPS_SA,Rockwool_International_A/S,STADA_Arzneimittel_AG,0.008461782722688483
