Date,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Returns
2013-09-20,National Bank of Greece SA,Bankia SA,Piraeus Bank SA,Alpha Bank AE,Punch Taverns Ltd,AIXTRON SE,Nokia OYJ,MorphoSys AG,Singulus Technologies AG,Italcementi SpA,Ocado Group PLC,Wacker Chemie AG,Peugeot SA,Seat Pagine Gialle SpA,Wienerberger AG,AGFA-Gevaert NV,Mediaset Espana Comunicacion SA,Ablynx NV,Faurecia SA,Dialog Semiconductor PLC,Bourbon Corp,REC Silicon ASA,Titan Cement Co SA,AVEVA Group PLC,EFG International AG,Clariant AG,Clariant AG.1,Air France-KLM,Arnoldo Mondadori Editore SpA,OPAP SA,Premier Foods PLC,Eurofins Scientific SE,Duerr AG,Neste Oyj,Mediaset SpA,McKesson Europe AG,LafargeHolcim Ltd.1,LafargeHolcim Ltd,Jeronimo Martins SGPS SA,RCS MediaGroup SpA,MLP SE,Sonova Holding AG,Sonova Holding AG.1,Faes Farma SA,Eniro AB,Konecranes OYJ,Metsa Board OYJ,Straumann Holding AG,Renault SA,Acciona SA,Siemens Gamesa Renewable Energy SA,Vestas Wind Systems A/S,ProSiebenSat.1 Media SE,Halfords Group PLC,Arcandor AG,Marfin Investment Group Holdings SA,Galapagos NV,Infineon Technologies AG,A2A SpA,Petroleum Geo-Services ASA,0.02808671210378052
2013-10-01,National Bank of Greece SA,Bankia SA,Piraeus Bank SA,Alpha Bank AE,AIXTRON SE,MorphoSys AG,Ocado Group PLC,Nokia OYJ,AGFA-Gevaert NV,Italcementi SpA,Singulus Technologies AG,Punch Taverns Ltd,Arnoldo Mondadori Editore SpA,Wienerberger AG,RCS MediaGroup SpA,Seat Pagine Gialle SpA,Ablynx NV,AVEVA Group PLC,Mediaset Espana Comunicacion SA,Bourbon Corp,Peugeot SA,CEZ AS,Wacker Chemie AG,Eurofins Scientific SE,A2A SpA,Titan Cement Co SA,Sanoma OYJ,OPAP SA,Clariant AG,Clariant AG.1,Duerr AG,Acciona SA,Faurecia SA,McKesson Europe AG,TGS NOPEC Geophysical Co ASA,Neste Oyj,Mediaset SpA,Tomra Systems ASA,MLP SE,LafargeHolcim Ltd.1,LafargeHolcim Ltd,Unipol Gruppo Finanziario SpA,Air France-KLM,BE Semiconductor Industries NV,ProSiebenSat.1 Media SE,Konecranes OYJ,Jeronimo Martins SGPS SA,Halfords Group PLC,Petroleum Geo-Services ASA,Ladbrokes Coral Group Ltd,Santander Bank Polska SA,Metsa Board OYJ,Premier Foods PLC,Straumann Holding AG,Getlink SE,Renault SA,EFG International AG,Rieter Holding AG,Hunting PLC,Generali Deutschland Holding AG,-0.014056237877624871
2013-10-10,National Bank of Greece SA,Bankia SA,Piraeus Bank SA,Alpha Bank AE,AIXTRON SE,MorphoSys AG,Nokia OYJ,Ocado Group PLC,AGFA-Gevaert NV,Punch Taverns Ltd,Singulus Technologies AG,Italcementi SpA,Wienerberger AG,RCS MediaGroup SpA,Peugeot SA,Ablynx NV,AVEVA Group PLC,Arnoldo Mondadori Editore SpA,Mediaset Espana Comunicacion SA,Bourbon Corp,Eurofins Scientific SE,CEZ AS,A2A SpA,TGS NOPEC Geophysical Co ASA,Duerr AG,Wacker Chemie AG,OPAP SA,REC Silicon ASA,Seat Pagine Gialle SpA,Acciona SA,Clariant AG,Clariant AG.1,Sanoma OYJ,Faurecia SA,McKesson Europe AG,Jeronimo Martins SGPS SA,MLP SE,Neste Oyj,Titan Cement Co SA,Air France-KLM,Petroleum Geo-Services ASA,LafargeHolcim Ltd,LafargeHolcim Ltd.1,Konecranes OYJ,Mediaset SpA,ProSiebenSat.1 Media SE,Tomra Systems ASA,Ladbrokes Coral Group Ltd,BE Semiconductor Industries NV,Halfords Group PLC,Santander Bank Polska SA,Unipol Gruppo Finanziario SpA,Premier Foods PLC,Metsa Board OYJ,Generali Deutschland Holding AG,Rieter Holding AG,EFG International AG,Renault SA,Hunting PLC,Getlink SE,0.02321141483747366
2013-10-21,National Bank of Greece SA,Bankia SA,Piraeus Bank SA,Alpha Bank AE,AIXTRON SE,MorphoSys AG,Nokia OYJ,Ocado Group PLC,AGFA-Gevaert NV,Punch Taverns Ltd,Ablynx NV,AVEVA Group PLC,Italcementi SpA,Wienerberger AG,Singulus Technologies AG,Bourbon Corp,Peugeot SA,Arnoldo Mondadori Editore SpA,CEZ AS,TGS NOPEC Geophysical Co ASA,Wacker Chemie AG,Eurofins Scientific SE,Mediaset Espana Comunicacion SA,Duerr AG,Clariant AG,Clariant AG.1,Seat Pagine Gialle SpA,Jeronimo Martins SGPS SA,RCS MediaGroup SpA,Acciona SA,Faurecia SA,Eniro AB,A2A SpA,BE Semiconductor Industries NV,Neste Oyj,AIB Group PLC,Halfords Group PLC,MLP SE,OPAP SA,ProSiebenSat.1 Media SE,Titan Cement Co SA,LafargeHolcim Ltd.1,LafargeHolcim Ltd,Petroleum Geo-Services ASA,Konecranes OYJ,Santander Bank Polska SA,Premier Foods PLC,Sanoma OYJ,Hunting PLC,EFG International AG,Rieter Holding AG,McKesson Europe AG,Air France-KLM,Afren PLC,REC Silicon ASA,Mediaset SpA,EMS-Chemie Holding AG.1,EMS-Chemie Holding AG,Getlink SE,Banco de Sabadell SA,0.05032586954835188
2013-10-30,National Bank of Greece SA,Bankia SA,Piraeus Bank SA,Alpha Bank AE,MorphoSys AG,Nokia OYJ,AIXTRON SE,Ocado Group PLC,AGFA-Gevaert NV,Punch Taverns Ltd,RCS MediaGroup SpA,AIB Group PLC,Ablynx NV,Arnoldo Mondadori Editore SpA,Eurofins Scientific SE,Arcandor AG,Wienerberger AG,Dexia SA,Royal Imtech NV,Italcementi SpA,TGS NOPEC Geophysical Co ASA,Thomas Cook Group PLC,AVEVA Group PLC,Bourbon Corp,ProSiebenSat.1 Media SE,Santander Bank Polska SA,Duerr AG,CEZ AS,Sky Deutschland AG,OPAP SA,EMS-Chemie Holding AG,EMS-Chemie Holding AG.1,Wacker Chemie AG,Faurecia SA,Peugeot SA,Hunting PLC,Sanoma OYJ,A2A SpA,Mediaset SpA,Rieter Holding AG,Jeronimo Martins SGPS SA,Getlink SE,EFG International AG,Konecranes OYJ,Metsa Board OYJ,Halfords Group PLC,Petroleum Geo-Services ASA,Premier Foods PLC,Clariant AG.1,Clariant AG,Air France-KLM,ICADE,McKesson Europe AG,BE Semiconductor Industries NV,Singulus Technologies AG,Tomra Systems ASA,Sonova Holding AG,Sonova Holding AG.1,Ladbrokes Coral Group Ltd,MLP SE,-0.00230421989011978
2013-11-08,National Bank of Greece SA,Bankia SA,Piraeus Bank SA,Alpha Bank AE,MorphoSys AG,Nokia OYJ,RCS MediaGroup SpA,AIXTRON SE,AIB Group PLC,AGFA-Gevaert NV,Ocado Group PLC,Punch Taverns Ltd,Arcandor AG,Wienerberger AG,Dexia SA,REC Silicon ASA,Eurofins Scientific SE,TGS NOPEC Geophysical Co ASA,Italcementi SpA,Ablynx NV,Royal Imtech NV,AVEVA Group PLC,Thomas Cook Group PLC,Sky Deutschland AG,ProSiebenSat.1 Media SE,Santander Bank Polska SA,Duerr AG,Bourbon Corp,Arnoldo Mondadori Editore SpA,Hunting PLC,CEZ AS,Halfords Group PLC,Jeronimo Martins SGPS SA,Rieter Holding AG,EFG International AG,MLP SE,EMS-Chemie Holding AG,EMS-Chemie Holding AG.1,Tomra Systems ASA,Petroleum Geo-Services ASA,Singulus Technologies AG,Getlink SE,Genmab A/S,Air France-KLM,Intrum AB,Mediaset SpA,Metsa Board OYJ,Metropole Television SA,Premier Foods PLC,Ladbrokes Coral Group Ltd,Jupiter Fund Management PLC,CGG SA,Sanoma OYJ,Titan Cement Co SA,Konecranes OYJ,Sonova Holding AG,Sonova Holding AG.1,ICADE,Peugeot SA,BE Semiconductor Industries NV,0.0010619201144655953
2013-11-19,National Bank of Greece SA,Piraeus Bank SA,Bankia SA,Alpha Bank AE,Dexia SA,Nokia OYJ,RCS MediaGroup SpA,MorphoSys AG,Eurobank Ergasias SA,Ocado Group PLC,Punch Taverns Ltd,Wienerberger AG,AIB Group PLC,Thomas Cook Group PLC,AGFA-Gevaert NV,Italcementi SpA,Ablynx NV,TGS NOPEC Geophysical Co ASA,AIXTRON SE,Duerr AG,AVEVA Group PLC,Halfords Group PLC,Sky Deutschland AG,Eurofins Scientific SE,Arnoldo Mondadori Editore SpA,Bourbon Corp,Santander Bank Polska SA,MLP SE,EFG International AG,REC Silicon ASA,Getlink SE,Arcandor AG,Hunting PLC,Konecranes OYJ,CGG SA,Rieter Holding AG,Straumann Holding AG,EMS-Chemie Holding AG.1,EMS-Chemie Holding AG,Intrum AB,ProSiebenSat.1 Media SE,BE Semiconductor Industries NV,Solocal Group,CEZ AS,Etablissements Maurel et Prom,Generali Deutschland Holding AG,Tomra Systems ASA,Ladbrokes Coral Group Ltd,Areva SA,Peugeot SA,Jupiter Fund Management PLC,Invensys Ltd,Hibu plc,Sanoma OYJ,Spirent Communications PLC,SIG PLC,Covivio,Acciona SA,Mediaset SpA,Clariant AG.1,-0.03130637216829585
2013-11-28,National Bank of Greece SA,Piraeus Bank SA,Dexia SA,Bankia SA,Nokia OYJ,Eurobank Ergasias SA,Alpha Bank AE,RCS MediaGroup SpA,MorphoSys AG,Punch Taverns Ltd,Ocado Group PLC,Arcandor AG,AIB Group PLC,Wienerberger AG,Sky Deutschland AG,AGFA-Gevaert NV,Ablynx NV,Halfords Group PLC,TGS NOPEC Geophysical Co ASA,Arnoldo Mondadori Editore SpA,Eurofins Scientific SE,Thomas Cook Group PLC,Italcementi SpA,AIXTRON SE,AVEVA Group PLC,Solocal Group,Mediaset SpA,Santander Bank Polska SA,MLP SE,EFG International AG,Duerr AG,Getlink SE,CGG SA,Hibu plc,Areva SA,Intrum AB,Jupiter Fund Management PLC,Acciona SA,Ambu A/S,Rieter Holding AG,OC Oerlikon Corp AG.1,OC Oerlikon Corp AG,CEZ AS,Straumann Holding AG,Serco Group PLC,EMS-Chemie Holding AG,EMS-Chemie Holding AG.1,Darty Ltd,Metropole Television SA,Konecranes OYJ,Hunting PLC,Tomra Systems ASA,Petroleum Geo-Services ASA,Afren PLC,Sonova Holding AG.1,Sonova Holding AG,Invensys Ltd,Covivio,Etablissements Maurel et Prom,Metsa Board OYJ,0.006693890812424564
2013-12-09,National Bank of Greece SA,Piraeus Bank SA,Dexia SA,Bankia SA,Eurobank Ergasias SA,Nokia OYJ,Alpha Bank AE,RCS MediaGroup SpA,MorphoSys AG,Punch Taverns Ltd,Thomas Cook Group PLC,Arcandor AG,AIB Group PLC,Wienerberger AG,Ablynx NV,Sky Deutschland AG,Ocado Group PLC,Solocal Group,TGS NOPEC Geophysical Co ASA,Eurofins Scientific SE,Halfords Group PLC,AGFA-Gevaert NV,AVEVA Group PLC,AIXTRON SE,Mediaset SpA,EFG International AG,Italcementi SpA,MLP SE,Arnoldo Mondadori Editore SpA,CGG SA,Getlink SE,Ambu A/S,Hibu plc,Serco Group PLC,Duerr AG,Titan Cement Co SA,Metropole Television SA,Sonova Holding AG,Sonova Holding AG.1,Acciona SA,Areva SA,CEZ AS,Jupiter Fund Management PLC,OC Oerlikon Corp AG,OC Oerlikon Corp AG.1,Rieter Holding AG,Smurfit Kappa Group PLC,Genmab A/S,EMS-Chemie Holding AG.1,EMS-Chemie Holding AG,ICADE,Afren PLC,Darty Ltd,Invensys Ltd,Metsa Board OYJ,Fomento de Construcciones y Contratas SA,Santander Bank Polska SA,Straumann Holding AG,Petroleum Geo-Services ASA,Temenos AG,-0.02720472038796825
2013-12-18,National Bank of Greece SA,Piraeus Bank SA,Dexia SA,Eurobank Ergasias SA,Alpha Bank AE,Nokia OYJ,RCS MediaGroup SpA,Bankia SA,MorphoSys AG,AIB Group PLC,Thomas Cook Group PLC,Punch Taverns Ltd,TGS NOPEC Geophysical Co ASA,Sky Deutschland AG,Wienerberger AG,Eurofins Scientific SE,Ablynx NV,Ocado Group PLC,Italcementi SpA,Arnoldo Mondadori Editore SpA,Halfords Group PLC,Arcandor AG,AGFA-Gevaert NV,Mediaset SpA,AVEVA Group PLC,AIXTRON SE,Solocal Group,EFG International AG,MLP SE,Petroleum Geo-Services ASA,Duerr AG,CGG SA,Serco Group PLC,Titan Cement Co SA,CEZ AS,Getlink SE,Smurfit Kappa Group PLC,Ambu A/S,Rieter Holding AG,Acciona SA,Jupiter Fund Management PLC,Sonova Holding AG,Sonova Holding AG.1,Temenos AG,Hibu plc,ICADE,Metropole Television SA,EMS-Chemie Holding AG,EMS-Chemie Holding AG.1,Genmab A/S,Dragon Oil PLC,Eniro AB,OC Oerlikon Corp AG.1,OC Oerlikon Corp AG,Pandora A/S,Afren PLC,Actelion Ltd.1,Actelion Ltd,Jeronimo Martins SGPS SA,Covivio,-0.017656887227323066
2013-12-27,National Bank of Greece SA,Piraeus Bank SA,Eurobank Ergasias SA,Alpha Bank AE,Nokia OYJ,Bankia SA,RCS MediaGroup SpA,MorphoSys AG,Thomas Cook Group PLC,Ablynx NV,AIB Group PLC,Punch Taverns Ltd,Sky Deutschland AG,Ocado Group PLC,TGS NOPEC Geophysical Co ASA,Solocal Group,Arnoldo Mondadori Editore SpA,Halfords Group PLC,MLP SE,Wienerberger AG,Eurofins Scientific SE,AIXTRON SE,CEZ AS,Peugeot SA,AGFA-Gevaert NV,AVEVA Group PLC,Ambu A/S,Mediaset SpA,Titan Cement Co SA,Temenos AG,Getlink SE,Rieter Holding AG,Jeronimo Martins SGPS SA,Actelion Ltd,Actelion Ltd.1,Jupiter Fund Management PLC,Dragon Oil PLC,Sonova Holding AG,Sonova Holding AG.1,Areva SA,Petroleum Geo-Services ASA,Serco Group PLC,Metropole Television SA,ICADE,Darty Ltd,Eniro AB,Premier Foods PLC,Smurfit Kappa Group PLC,Acciona SA,Unipol Gruppo Finanziario SpA,Afren PLC,SGL Carbon SE,Santander Bank Polska SA,Genmab A/S,Intrum AB,A2A SpA,Italcementi SpA,Domino's Pizza Group PLC,Covivio,Duerr AG,0.03468796806182592
2014-01-07,National Bank of Greece SA,Piraeus Bank SA,Bankia SA,Alpha Bank AE,RCS MediaGroup SpA,Nokia OYJ,AIB Group PLC,Sky Deutschland AG,MorphoSys AG,Thomas Cook Group PLC,Arnoldo Mondadori Editore SpA,TGS NOPEC Geophysical Co ASA,MLP SE,Eurofins Scientific SE,Solocal Group,Mediaset SpA,Eurobank Ergasias SA,Temenos AG,Ablynx NV,Punch Taverns Ltd,Jeronimo Martins SGPS SA,Halfords Group PLC,CEZ AS,Actelion Ltd.1,Actelion Ltd,Wienerberger AG,AGFA-Gevaert NV,AVEVA Group PLC,Peugeot SA,Ocado Group PLC,Rieter Holding AG,Serco Group PLC,Eniro AB,Getlink SE,Ambu A/S,Premier Foods PLC,Darty Ltd,Arcandor AG,EMS-Chemie Holding AG,EMS-Chemie Holding AG.1,Jupiter Fund Management PLC,Hibu plc,AIXTRON SE,Metropole Television SA,Fomento de Construcciones y Contratas SA,Covivio,Intrum AB,Titan Cement Co SA,Hera SpA,Acciona SA,Santander Bank Polska SA,GAGFAH SA,Sacyr SA,Smurfit Kappa Group PLC,Dragon Oil PLC,Stolt-Nielsen Ltd,Straumann Holding AG,Konecranes OYJ,ProSiebenSat.1 Media SE,ICADE,0.025548359540545358
